id,text,annotation,iteration,ka_mean,ka_lower,ka_upper
0,@OutFrontCNN @CNN u cant lift sanctions & then slap then back on right away. Who's that foolish? Or deceitful? #IranTalks #SemST,0,0,,,
1,@thehill you continue to shoot yourself in the foot. I guess this is for entertainment purposes only! #SemST,0,0,,,
2,"@ZekeJMiller @Reince @SharonDay GOP plan to stop Trump? LOL Maybe they can put up loser candidates like Romney, McCain and Jeb! #SemST",0,0,,,
3,@realDonaldTrump I don't care what @NASCAR says! I dont care what the liberals at @espn say.. Keep Speaking The TRUTH!! #SemST,1,0,,,
4,Macy's to stop selling Trump merch. I guess he'll sue them next. #SemST,0,0,,,
5,"Donald Trump gets the boot from #NBC for calling immigrants rapists and murderers. Hey Donnie, where's your wife from again? #SemST",0,0,,,
6,"#DanaPerino is getting more snitful by the minute. Says Trump isn't believable, can't win. Hide&watch! #MakeAmericaGreatAgain #SemST",0,0,,,
7,@realDonaldTrump it's crazy how cowardly these big corporations are. I swear I'm campaigning for you !!!!! #SemST,0,0,,,
8,@Macys not selling Trump because he voices his opinion.. What happy to freedom of speech.. I'll never shop at @Macys again.. #SemST,0,0,,,
9,The more I read how NBC and Macy's are cutting ties with @realDonaldTrump the more I'm convinced he should be president.  #SemST,1,0,,,
10,Radical Islam is still a threat to the Western World!!!! #awareness #PATRIOT #UnitedWeStand #SemST,0,0,,,
11,"@TuckerCarlson #GayMarriage is the ""law of the land"" yet #immigration law is ignored. Absurd! #LobotomizedLiberals #LiberalLogic #SemST",0,0,,,
12,"We the people has become ""We the sheeple""  #SemST",0,0,,,
13,Apparently #Trump values riches so much he can't afford values. #Trumpelstiltskin #SemST,0,0,,,
14,@realDonaldTrump Really? The perfect definition of ignorance... The perfect example of someone who does not know reality... #SemST,0,0,,,
15,I suddenly find myself liking @nbc a whole lot more than ever before.forPresidentoftheClubofIdiots #SemST,1,0,,,
16,Why is it wrong when Trump is stating facts about illegal immigrants??? He is 100% Right #SemST,0,0,,,
17,Just watched @realDonaldTrump speech. How embarrassing for his family! Like that's a really bad dad moment  #SemST,0,0,,,
18,@RWSurferGirl it's not a racial tragedy nor an Islamic one either. Only patriots care for all. #SemST,0,0,,,
19,Healthcare in America must be fixed. Women are everything.  #TeamJason  #SemST,0,0,,,
20,@GeraldoRivera @realDonaldTrump Don't apologize for the truth. People are too sensitive. #MakeAmericaGreatAgain #SemST,1,0,,,
21,@VLActionFund @Reince The same #RNC LOSERS that thought Romney & Palin were good choices needs to be THANKFUL Trump came along  #SemST,0,0,,,
22,"Honestly I am gonna watch #Univision so much more now, just to support the network against #SemST",1,0,,,
23,Will FOX News pick up #MissUSA and #MissUniverse?  Stay tuned to find out.  #YoureFired #NBC #FoxNews #SemST,1,0,,,
24,Hey @MayorGregor thanks for letting a racist bigot build a giant tower with his name on it downtown. Real proud of ya. #SemST,0,0,,,
25,"For the record, as a #Latino, (#Peruvian to be specific), let me state the obvious: #FuckTrump #SemST",0,0,,,
26,"Spine, I would like for you to meet the Republican Party.  #SemST",1,0,,,
27,What are your favorite conservative blog sites and why?  #tcot #RedNationRising #CulturalRot #SemST,0,0,,,
28,"@foxnation read my lips , "" I am Nuts "" get out of people's personal life. #SemST",0,0,,,
29,bow my head  #FreeChelsea #FreeHamond #all prisoners of the state!  #SemST,0,0,,,
30,@WhipHoyer @CorlessJones haha ACA is far from affordable you bunch of GRUBER idiots! #SemST,0,0,,,
31,Cancel your Netflix subscription and donate to @realDonaldTrump's campaign for entertainment #Trump #SemST,1,0,,,
32,So #Memphis will dig up #NathanBedfordForrest but #BillCosby keeps his star on the Hollywood Walk of Fame? #LiberalLogic #SemST,0,0,,,
33,"Lighting that WH was so in your face to half of America, no class and so disrespectful..  #CashinIn   #SemST",0,0,,,
34,He doesn't care & would have to give up TV gigs anyway to run... loves attention & controversy  #SemST,0,0,,,
35,"@realDonaldTrump is not a pilitical puppet. Maybe a piata, but definitely not a puppet. #SemST",0,0,,,
36,Thank you @Macys! You are and will continue to be my favorite store! Bye bye #DoucheBag #SemST,0,0,,,
37,If the Obama cabinet was on the apprentice who would you fire?  Kerry was the answer. #talkcityclub #SemST,0,0,,,
38,I'm voting for Donald Trump ! #SemST,1,0,,,
39,"The Left fear Donald Trump, BIG TIME! @realDonaldTrump  #SemST",0,0,,,
40,@realDonaldTrump is such an idiot. He's risking way to much for something he'll never get. #SemST,0,0,,,
41,"@ProfessorF You have plenty of phones, internet access, cars, TVs, houses, etc. all courtesy of taxpayers.. er.. government! #SemST",0,0,,,
42,"Donald Trump is in dire need of a crisis communicator. PR folks, please give him your two cents. #SorryNotSorry #SemST",0,0,,,
43,This Fight Isn't OVER! #Obamacare Is Obviously Broken & It Increases Health Care Costs For Millions Of Americans. #SCOTUScare #SemST,0,0,,,
44,@realDonaldTrump  WE WANT TRUMP! WE WANT TRUMP! WE WANT TRUMP!!! #MakeAmericaGreatAgain #SemST,1,0,,,
45,I nominate Donald Trump for the new ambassador to Mexico. #Mexico #Tacos #SemST,1,0,,,
46,@dramamiine well you have the right to your opinion and I have the right to not listen to it. Have a great day! #SemST,0,0,,,
47,"@GalaxySojourn until their welfare is cut, their freebies taken away the #plantationparty will always vote dem #SemST",0,0,,,
48,Stop thinking you can walk around talking reckless in the end it will bite you in the ass #Dontjudgeme #SemST,0,0,,,
49,RT brutaltruth2682: Radical Islam is still a threat to the Western World!!!! #awareness #PATRIOT #UnitedWeStand #SemST,0,0,,,
50,@johnnydollar01 @kilmeade That there can be complete #ASSHOLES like #SemST,0,0,,,
51,I really hate these stunts.  We already know how ignorant the post-Reagan generations are.   #SemST,0,0,,,
52,@realDonaldTrump Just watched you on @FoxNews. You are awesome! You have my vote! #MakeAmericaGreatAgain #SemST,1,0,,,
53,Who among us has never defamed an entire country on nat'l television while declaring candidacy for president? #perspective #SemST,0,0,,,
54,@kesgardner @MikeHansen613  WTF?????? The true face of #Racism & it is UGLY both inside & out #SemST,0,0,,,
55,People who judge Trump based on his looks and hair style yet call him a racist bigot might be #hypocrites #SemST,0,0,,,
56,"John O'Donnell, former president of Trump Plaza Hotel & Casino ... @realDonaldTrump said ""laziness is a trait in blacks. #SemST",0,0,,,
57,@realDonaldTrump we all want you as the next president !! You tell it has it is and not as a spineless politician! #SemST,1,0,,,
58,Reminder: DemocRATs STOLE  $716 Billion from Medicare f/ the elderly & gave it to Medicaid to help pay for #Obamacare. #SemST,0,0,,,
