id,text,annotation,iteration,ka_mean,ka_lower,ka_upper
0,"The Supreme Court on Monday vacated a lower court ruling that would have required the government to release photographs showing the abuse of prisoners in Iraq and Afghanistan .  The decision was three sentences long and unsigned x and it followed the enactment of a law in October allowing the secretary of defend xagainst an xappeal court's brief order indicated that Justice Sonia Sotomayor x who until recently was a judge on the Second Circuit x did not participate in Monday's decision . Judge Sotomayor was not member of the xappeal court panel that ordered the photos released .  The ACLU issued a statement saying it would continue to fight for disclosure of the pictures .  ''We continue to believe that the photos should be released x and we intend to press that case in the lower court ,'' said Steven R . Shapiro x the group's legal director . ''No democracy has ever been made stronger by suppressing evidence of its own misconduct .'' URL: http://www .nytimescom",0,0,,,
1,Dampened by winter storms x the overall unemployment rate for New York and New Jersey took a turn for the worse last month x while the rate for New York City improved x reflecting the growing strength of the city's economy . In New York State x the unemployment rate x adjusted for normal seasonal fluctuations x increased to 7dot8 percent last month from 7dot1 percent in January x according to figures released yesterday by the Federal Bureau of Labor Statistics . It was the first big increase since October .  The change represented a lose an xeconomic spring x he said . Copyright 1994 The New York Times Company,1,0,,,
2,"Investors who lose the xSEC . in 2004 x was hired by the company in 2000 and fired in 2002 for refuse to xpush the CD's on her clients x she told the hearing .  ''The financial advisers who sold CD's were praised and compensated for doing so x and those who did not sell the CD's were fired ,'' Ms Wydler said .  Government prosecutors say that CD's issued by Mr Stanford's offshore bank were at the center of the scheme .  The SEC . has been criticized for not acting xquick to halt Mr Stanford's fraud . The agency's internal watchdog said last month that the agency's efforts to pursue Mr Stanford were hampered by a lack xof xcooperation by the Texas billionaire and the head of Antigua's financial regulator .  ''The system absolutely failed us x and now we are left destitute x defrauded and dependent on others ,'' said Troy Lillie x a retired Exxon Mobil refinery worker from Maurice x La .  Mr Stanford has denied any wrongdoing . URL: http://www .nytimescom",0,0,,,
3,It didn't take long for an Al Qaeda branch x this time in Yemen x to crow about its role in the attempt to blow up Northwest Flight 253 . The alleged bomber x meanwhile x told American authorities that he had gone to Yemen to get the explose xhope in time x of why it's so important to head off full chaos in Yemen . The last thing the world needs is another haven for Al Qaeda . URL: http://www .nytimescom,0,0,,,
4,China signed 14 deals with Cambodia on Monday worth approximately $1 billion xworth $1dot2 billion xworth $853 million . URL: http://www .nytimescom,1,0,,,
5,"HAYESxHoward R . ,October 22 x 2009 . Beloved husband of Kathryn (deceased) and father of Kathryn Adrienne x Richard and daughter in law Susan . Member of the US Armed Forces x USN x in the Pacific Theater x WWII . Graduate of NYU with BS and MA in Education . Special Education teacher NYC Board of Education x teacher and performer of ballroom dance x and carpenter . A wonderful man who always put others first . He will be missed forever by the many who knew and loved him . URL: http://www .nytimescom",1,0,,,
6,The argument that raising taxes $228 billion over five years will help our depressed economy doesn't make sense . We hear this sort of argument: ''To revive the economy x we have to get interest rates down . To lower interest rates x we have to reduce the deficit . To reduce the deficit x we have to raise taxes .'' See . If we raise the tax on economic activity to xsupport either the revenue or the savings in social spending necessary to xbalance budget permanently . No matter how you look at it x the Senate tax increase is a decisive step back from economic recovery toward stagnation . Austerity is still the problem x not answer . xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx Jack F . Kemp x Republican of New York x is a member of the House Budget Committee . TYPE: OP ED Copyright 1982 The New York Times Company,0,0,,,
7,This morning's front pages tell only part of the bad news: 10 .8 percent unemployment x 12 million Americans look xlike these . Also uncovered are involuntary part timers x people who desire but can not find full time work . Labor Secretary Donovan is considering a measure to let them work part time and still collect benefits x but it would only be a recommendation to the states x not mandate . While these problems are not solved easily x or cheaply x they suggest a need for greater Federal involvement x at least to set fair standards for benefits for all who deserve them . Unemployment x (no) not (less) not poverty x is a national concern . New York didn't bring on the recession and (neither) not Alabama . The unemployed are the burden of all Americans . TYPE: editorial Copyright 1982 The New York Times Company,0,0,,,
8,To the Business Editor: That changes in the ratio of consumer goods to capital goods produced by industry is found to be a leading economic indicator x ''The Sutro Forecast'' (Oct 25) x this seems significant even beyond the fact that when this ratio decline to xvalidate the theory attributed to John Maynard Keynes that governmental policies that encourage expansion of consumer spending faster than expansion of capital investment would be effective in bringing the economy out of recession . The clear declining trend of this leading indicator tells us now that if President Reagan continues adamant in putting the chicken ahead of the egg x it will lead us further into the recession . I may have stretched the chicken and egg analogy a xlittle much x but I just hope he chickens out before we reach a depression . MILES PENNYBACKER Westport x Conn . Oct 29 x 1981 TYPE: letter Copyright 1981 The New York Times Company,0,0,,,
9,Tennessee's assistant medical examiner x Feng Li x said a toxicology report showed that Sahel Kazemi x the 20 year old woman the police say fatally xshot to death . The police say McNair was probably asleep when he was shot twice in the head and twice in the chest . URL: http://www .nytimescom,0,0,,,
