id,text,annotation,iteration,ka_mean,ka_lower,ka_upper,label
0,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 52 years old. I am a woman. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
1,"Racially, I am native American. I like to discuss politics with my family and friends. I do not attend church. I am 59 years old. I am a man. I am very interested in politics.",1,0,NA,NA,NA,synth_short
2,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 32 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
3,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 80 years old. I am a man. I am very interested in politics.",1,0,NA,NA,NA,synth_short
4,"Racially, I am asian. I like to discuss politics with my family and friends. I attend church. I am 39 years old. I am a woman. I am very interested in politics.",0,0,NA,NA,NA,synth_short
5,"Racially, I am native American. I like to discuss politics with my family and friends. I attend church. I am 38 years old. I am a woman. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
6,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 57 years old. I am a woman. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
7,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 77 years old. I am a woman. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
8,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 80 years old. I am a woman. I am very interested in politics.",1,0,NA,NA,NA,synth_short
9,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 78 years old. I am a woman. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
10,"Racially, I am white. I attend church. I am 49 years old. I am a woman.",1,0,NA,NA,NA,synth_short
11,"Racially, I am asian. I like to discuss politics with my family and friends. I do not attend church. I am 43 years old. I am a woman. I am somewhat interested in politics.",0,0,NA,NA,NA,synth_short
12,"Racially, I am asian. I like to discuss politics with my family and friends. I do not attend church. I am 29 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
13,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 53 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
14,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 73 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
15,"Racially, I am white. I attend church. I am 45 years old. I am a man.",1,0,NA,NA,NA,synth_short
16,I do not attend church. I am 26 years old. I am a woman.,1,0,NA,NA,NA,synth_short
17,"Racially, I am white. I attend church. I am 21 years old. I am a woman.",1,0,NA,NA,NA,synth_short
18,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 80 years old. I am a woman. I am very interested in politics.",1,0,NA,NA,NA,synth_short
19,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 28 years old. I am a man. I am very interested in politics.",1,0,NA,NA,NA,synth_short
20,"Racially, I am asian. I like to discuss politics with my family and friends. I do not attend church. I am 73 years old. I am a woman. I am somewhat interested in politics.",0,0,NA,NA,NA,synth_short
21,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 66 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
22,"Racially, I am white. I do not attend church. I am 40 years old. I am a man.",1,0,NA,NA,NA,synth_short
23,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 38 years old. I am a woman. I am not very interested in politics.",1,0,NA,NA,NA,synth_short
24,"Racially, I am native American. I like to discuss politics with my family and friends. I do not attend church. I am 26 years old. I am a man. I am very interested in politics.",0,0,NA,NA,NA,synth_short
25,"Racially, I am native American. I like to discuss politics with my family and friends. I attend church. I am 75 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
26,"Racially, I am black. I like to discuss politics with my family and friends. I attend church. I am 70 years old. I am a woman. I am not very interested in politics.",0,0,NA,NA,NA,synth_short
27,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 25 years old. I am a woman. I am not very interested in politics.",1,0,NA,NA,NA,synth_short
28,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 37 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
29,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 19 years old. I am a woman. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
30,"Racially, I am asian. I like to discuss politics with my family and friends. I do not attend church. I am 47 years old. I am a woman. I am not at all interested in politics.",0,0,NA,NA,NA,synth_short
31,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 80 years old. I am a woman. I am not very interested in politics.",1,0,NA,NA,NA,synth_short
32,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 69 years old. I am a man. I am very interested in politics.",1,0,NA,NA,NA,synth_short
33,"Racially, I am native American. I do not attend church. I am a man.",1,0,NA,NA,NA,synth_short
34,"Racially, I am hispanic. I like to discuss politics with my family and friends. I attend church. I am 56 years old. I am a woman. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
35,"Racially, I am asian. I never discuss politics with my family or friends. I attend church. I am 59 years old. I am a woman. I am not very interested in politics.",1,0,NA,NA,NA,synth_short
36,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 57 years old. I am a man. I am not very interested in politics.",1,0,NA,NA,NA,synth_short
37,"Racially, I am asian. I like to discuss politics with my family and friends. I attend church. I am a woman.",0,0,NA,NA,NA,synth_short
38,"Racially, I am hispanic. I like to discuss politics with my family and friends. I attend church. I am 46 years old. I am a woman. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
39,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 66 years old. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
40,"Racially, I am black. I like to discuss politics with my family and friends. I attend church. I am 77 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
41,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 55 years old. I am a woman. I am very interested in politics.",1,0,NA,NA,NA,synth_short
42,"Racially, I am white. I attend church. I am 62 years old. I am a woman.",1,0,NA,NA,NA,synth_short
43,"Racially, I am black. I like to discuss politics with my family and friends. I attend church. I am 45 years old. I am a woman. I am very interested in politics.",0,0,NA,NA,NA,synth_short
44,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 80 years old. I am a woman. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
45,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 64 years old. I am a woman. I am very interested in politics.",1,0,NA,NA,NA,synth_short
46,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 47 years old. I am a woman. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
47,"Racially, I am white. I attend church. I am 50 years old. I am a man.",1,0,NA,NA,NA,synth_short
48,"Racially, I am black. I like to discuss politics with my family and friends. I attend church. I am 35 years old. I am a man. I am not very interested in politics.",0,0,NA,NA,NA,synth_short
49,"Racially, I am black. I like to discuss politics with my family and friends. I attend church. I am 41 years old. I am a man. I am somewhat interested in politics.",0,0,NA,NA,NA,synth_short
50,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 67 years old. I am a woman. I am very interested in politics.",1,0,NA,NA,NA,synth_short
51,"Racially, I am asian. I like to discuss politics with my family and friends. I do not attend church. I am 53 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
52,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 24 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
53,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 66 years old. I am a man. I am not very interested in politics.",1,0,NA,NA,NA,synth_short
54,"Racially, I am hispanic. I like to discuss politics with my family and friends. I do not attend church. I am 78 years old. I am a woman. I am very interested in politics.",1,0,NA,NA,NA,synth_short
55,"Racially, I am hispanic. I like to discuss politics with my family and friends. I do not attend church. I am 28 years old. I am a woman. I am somewhat interested in politics.",0,0,NA,NA,NA,synth_short
56,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 49 years old. I am a man. I am very interested in politics.",1,0,NA,NA,NA,synth_short
57,I like to discuss politics with my family and friends. I do not attend church. I am 41 years old. I am a man. I am very interested in politics.,1,0,NA,NA,NA,synth_short
58,I like to discuss politics with my family and friends. I do not attend church. I am 42 years old. I am a man. I am very interested in politics.,1,0,NA,NA,NA,synth_short
59,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 25 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
60,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 29 years old. I am a man. I am very interested in politics.",1,0,NA,NA,NA,synth_short
61,"Racially, I am white. I like to discuss politics with my family and friends. I attend church. I am 48 years old. I am a man. I am very interested in politics.",1,0,NA,NA,NA,synth_short
62,"Racially, I am black. I like to discuss politics with my family and friends. I attend church. I am 29 years old. I am a woman. I am not very interested in politics.",0,0,NA,NA,NA,synth_short
63,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 50 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
64,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 22 years old. I am a woman. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
65,"Racially, I am black. I like to discuss politics with my family and friends. I attend church. I am 36 years old. I am a man. I am somewhat interested in politics.",0,0,NA,NA,NA,synth_short
66,"Racially, I am hispanic. I like to discuss politics with my family and friends. I attend church. I am 41 years old. I am a man. I am somewhat interested in politics.",1,0,NA,NA,NA,synth_short
67,"Racially, I am white. I never discuss politics with my family or friends. I do not attend church. I am 67 years old. I am a man. I am not at all interested in politics.",1,0,NA,NA,NA,synth_short
68,"Racially, I am white. I like to discuss politics with my family and friends. I do not attend church. I am 57 years old. I am a woman. I am very interested in politics.",1,0,NA,NA,NA,synth_short
